#;Nome;Tipo 1;Tipo 2;Total;Ataque;Defesa;Atq Esp;Def Esp;Velocidade;Geracao;Lendario
390;Chimchar;Fogo;;309;58;44;58;44;61;4;False
391;Monferno;Fogo;Lutador;405;78;52;78;52;81;4;False
392;Infernape;Fogo;Lutador;534;104;71;104;71;108;4;False
393;Piplup;Agua;;314;51;53;61;56;40;4;False
394;Prinplup;Agua;;405;66;68;81;76;50;4;False
395;Empoleon;Agua;Metalico;530;86;88;111;101;60;4;False
396;Starly;Normal;Voador;245;55;30;30;30;60;4;False
397;Staravia;Normal;Voador;340;75;50;40;40;80;4;False
398;Staraptor;Normal;Voador;485;120;70;50;60;100;4;False
399;Bidoof;Normal;;250;45;40;35;40;31;4;False
400;Bibarel;Normal;Agua;410;85;60;55;60;71;4;False
401;Kricketot;Inseto;;194;25;41;25;41;25;4;False
402;Kricketune;Inseto;;384;85;51;55;51;65;4;False
403;Shinx;Electric;;263;65;34;40;34;45;4;False
404;Luxio;Electric;;363;85;49;60;49;60;4;False
405;Luxray;Electric;;523;120;79;95;79;70;4;False
406;Budew;Planta;Venenoso;280;30;35;50;70;55;4;False
407;Roserade;Planta;Venenoso;515;70;65;125;105;90;4;False
408;Cranidos;Pedra;;350;125;40;30;30;58;4;False
409;Rampardos;Pedra;;495;165;60;65;50;58;4;False
410;Shieldon;Pedra;Metalico;350;42;118;42;88;30;4;False
411;Bastiodon;Pedra;Metalico;495;52;168;47;138;30;4;False
412;Burmy;Inseto;;224;29;45;29;45;36;4;False
413;WormadamPlant Cloak;Inseto;Planta;424;59;85;79;105;36;4;False
413;WormadamSandy Cloak;Inseto;Terra;424;79;105;59;85;36;4;False
413;WormadamTrash Cloak;Inseto;Metalico;424;69;95;69;95;36;4;False
414;Mothim;Inseto;Voador;424;94;50;94;50;66;4;False
415;Combee;Inseto;Voador;244;30;42;30;42;70;4;False
416;Vespiquen;Inseto;Voador;474;80;102;80;102;40;4;False
417;Pachirisu;Electric;;405;45;70;45;90;95;4;False
418;Buizel;Agua;;330;65;35;60;30;85;4;False
419;Floatzel;Agua;;495;105;55;85;50;115;4;False
420;Cherubi;Planta;;275;35;45;62;53;35;4;False
421;Cherrim;Planta;;450;60;70;87;78;85;4;False
422;Shellos;Agua;;325;48;48;57;62;34;4;False
423;Gastrodon;Agua;Terra;475;83;68;92;82;39;4;False
424;Ambipom;Normal;;482;100;66;60;66;115;4;False
425;Drifloon;Fantasma;Voador;348;50;34;60;44;70;4;False
426;Drifblim;Fantasma;Voador;498;80;44;90;54;80;4;False
427;Buneary;Normal;;350;66;44;44;56;85;4;False
428;Lopunny;Normal;;480;76;84;54;96;105;4;False
428;LopunnyMega Lopunny;Normal;Lutador;580;136;94;54;96;135;4;False
429;Mismagius;Fantasma;;495;60;60;105;105;105;4;False
430;Honchkrow;Noturno;Voador;505;125;52;105;52;71;4;False
431;Glameow;Normal;;310;55;42;42;37;85;4;False
432;Purugly;Normal;;452;82;64;64;59;112;4;False
433;Chingling;Psiquico;;285;30;50;65;50;45;4;False
434;Stunky;Venenoso;Noturno;329;63;47;41;41;74;4;False
435;Skuntank;Venenoso;Noturno;479;93;67;71;61;84;4;False
436;Bronzor;Metalico;Psiquico;300;24;86;24;86;23;4;False
437;Bronzong;Metalico;Psiquico;500;89;116;79;116;33;4;False
438;Bonsly;Pedra;;290;80;95;10;45;10;4;False
439;Mime Jr.;Psiquico;Fada;310;25;45;70;90;60;4;False
440;Happiny;Normal;;220;5;5;15;65;30;4;False
441;Chatot;Normal;Voador;411;65;45;92;42;91;4;False
442;Spiritomb;Fantasma;Noturno;485;92;108;92;108;35;4;False
443;Gible;Dragao;Terra;300;70;45;40;45;42;4;False
444;Gabite;Dragao;Terra;410;90;65;50;55;82;4;False
445;Garchomp;Dragao;Terra;600;130;95;80;85;102;4;False
445;GarchompMega Garchomp;Dragao;Terra;700;170;115;120;95;92;4;False
446;Munchlax;Normal;;390;85;40;40;85;5;4;False
447;Riolu;Lutador;;285;70;40;35;40;60;4;False
448;Lucario;Lutador;Metalico;525;110;70;115;70;90;4;False
448;LucarioMega Lucario;Lutador;Metalico;625;145;88;140;70;112;4;False
449;Hippopotas;Terra;;330;72;78;38;42;32;4;False
450;Hippowdon;Terra;;525;112;118;68;72;47;4;False
451;Skorupi;Venenoso;Inseto;330;50;90;30;55;65;4;False
452;Drapion;Venenoso;Noturno;500;90;110;60;75;95;4;False
453;Croagunk;Venenoso;Lutador;300;61;40;61;40;50;4;False
454;Toxicroak;Venenoso;Lutador;490;106;65;86;65;85;4;False
455;Carnivine;Planta;;454;100;72;90;72;46;4;False
456;Finneon;Agua;;330;49;56;49;61;66;4;False
457;Lumineon;Agua;;460;69;76;69;86;91;4;False
458;Mantyke;Agua;Voador;345;20;50;60;120;50;4;False
459;Snover;Planta;Gelo;334;62;50;62;60;40;4;False
460;Abomasnow;Planta;Gelo;494;92;75;92;85;60;4;False
460;AbomasnowMega Abomasnow;Planta;Gelo;594;132;105;132;105;30;4;False
461;Weavile;Noturno;Gelo;510;120;65;45;85;125;4;False
462;Magnezone;Electric;Metalico;535;70;115;130;90;60;4;False
463;Lickilicky;Normal;;515;85;95;80;95;50;4;False
464;Rhyperior;Terra;Pedra;535;140;130;55;55;40;4;False
465;Tangrowth;Planta;;535;100;125;110;50;50;4;False
466;Electivire;Electric;;540;123;67;95;85;95;4;False
467;Magmortar;Fogo;;540;95;67;125;95;83;4;False
468;Togekiss;Fada;Voador;545;50;95;120;115;80;4;False
469;Yanmega;Inseto;Voador;515;76;86;116;56;95;4;False
470;Leafeon;Planta;;525;110;130;60;65;95;4;False
471;Glaceon;Gelo;;525;60;110;130;95;65;4;False
472;Gliscor;Terra;Voador;510;95;125;45;75;95;4;False
473;Mamoswine;Gelo;Terra;530;130;80;70;60;80;4;False
474;Porygon-Z;Normal;;535;80;70;135;75;90;4;False
475;Gallade;Psiquico;Lutador;518;125;65;65;115;80;4;False
475;GalladeMega Gallade;Psiquico;Lutador;618;165;95;65;115;110;4;False
476;Probopass;Pedra;Metalico;525;55;145;75;150;40;4;False
477;Dusknoir;Fantasma;;525;100;135;65;135;45;4;False
478;Froslass;Gelo;Fantasma;480;80;70;80;70;110;4;False
479;Rotom;Electric;Fantasma;440;50;77;95;77;91;4;False
479;RotomHeat Rotom;Electric;Fogo;520;65;107;105;107;86;4;False
479;RotomWash Rotom;Electric;Agua;520;65;107;105;107;86;4;False
479;RotomFrost Rotom;Electric;Gelo;520;65;107;105;107;86;4;False
479;RotomFan Rotom;Electric;Voador;520;65;107;105;107;86;4;False
479;RotomMow Rotom;Electric;Planta;520;65;107;105;107;86;4;False
480;Uxie;Psiquico;;580;75;130;75;130;95;4;True
481;Mesprit;Psiquico;;580;105;105;105;105;80;4;True
482;Azelf;Psiquico;;580;125;70;125;70;115;4;True
483;Dialga;Metalico;Dragao;680;120;120;150;100;90;4;True
484;Palkia;Agua;Dragao;680;120;100;150;120;100;4;True
485;Heatran;Fogo;Metalico;600;90;106;130;106;77;4;True
486;Regigigas;Normal;;670;160;110;80;110;100;4;True
487;GiratinaAltered Forme;Fantasma;Dragao;680;100;120;100;120;90;4;True
487;GiratinaOrigin Forme;Fantasma;Dragao;680;120;100;120;100;90;4;True
488;Cresselia;Psiquico;;600;70;120;75;130;85;4;False
489;Phione;Agua;;480;80;80;80;80;80;4;False
490;Manaphy;Agua;;600;100;100;100;100;100;4;False
491;Noturnorai;Noturno;;600;90;90;135;90;125;4;True
492;ShayminLand Forme;Planta;;600;100;100;100;100;100;4;True
492;ShayminSky Forme;Planta;Voador;600;103;75;120;75;127;4;True
493;Arceus;Normal;;720;120;120;120;120;120;4;True
494;Victini;Psiquico;Fogo;600;100;100;100;100;100;5;True
495;Snivy;Planta;;308;45;55;45;55;63;5;False
496;Servine;Planta;;413;60;75;60;75;83;5;False
497;Serperior;Planta;;528;75;95;75;95;113;5;False
498;Tepig;Fogo;;308;63;45;45;45;45;5;False
499;Pignite;Fogo;Lutador;418;93;55;70;55;55;5;False
500;Emboar;Fogo;Lutador;528;123;65;100;65;65;5;False
501;Oshawott;Agua;;308;55;45;63;45;45;5;False
502;Dewott;Agua;;413;75;60;83;60;60;5;False
503;Samurott;Agua;;528;100;85;108;70;70;5;False
504;Patrat;Normal;;255;55;39;35;39;42;5;False
505;Watchog;Normal;;420;85;69;60;69;77;5;False
506;Lillipup;Normal;;275;60;45;25;45;55;5;False
507;Herdier;Normal;;370;80;65;35;65;60;5;False
508;Stoutland;Normal;;500;110;90;45;90;80;5;False
509;Purrloin;Noturno;;281;50;37;50;37;66;5;False
510;Liepard;Noturno;;446;88;50;88;50;106;5;False
511;Pansage;Planta;;316;53;48;53;48;64;5;False
512;Simisage;Planta;;498;98;63;98;63;101;5;False
513;Pansear;Fogo;;316;53;48;53;48;64;5;False
514;Simisear;Fogo;;498;98;63;98;63;101;5;False
515;Panpour;Agua;;316;53;48;53;48;64;5;False
516;Simipour;Agua;;498;98;63;98;63;101;5;False
517;Munna;Psiquico;;292;25;45;67;55;24;5;False
518;Musharna;Psiquico;;487;55;85;107;95;29;5;False
519;Pidove;Normal;Voador;264;55;50;36;30;43;5;False
520;Tranquill;Normal;Voador;358;77;62;50;42;65;5;False
521;Unfezant;Normal;Voador;488;115;80;65;55;93;5;False
522;Blitzle;Electric;;295;60;32;50;32;76;5;False
523;Zebstrika;Electric;;497;100;63;80;63;116;5;False
524;Roggenrola;Pedra;;280;75;85;25;25;15;5;False
525;Boldore;Pedra;;390;105;105;50;40;20;5;False
526;Gigalith;Pedra;;515;135;130;60;80;25;5;False
527;Woobat;Psiquico;Voador;313;45;43;55;43;72;5;False
528;Swoobat;Psiquico;Voador;425;57;55;77;55;114;5;False
529;Drilbur;Terra;;328;85;40;30;45;68;5;False
530;Excadrill;Terra;Metalico;508;135;60;50;65;88;5;False
531;Audino;Normal;;445;60;86;60;86;50;5;False
531;AudinoMega Audino;Normal;Fada;545;60;126;80;126;50;5;False
532;Timburr;Lutador;;305;80;55;25;35;35;5;False
533;Gurdurr;Lutador;;405;105;85;40;50;40;5;False
534;Conkeldurr;Lutador;;505;140;95;55;65;45;5;False
535;Tympole;Agua;;294;50;40;50;40;64;5;False
536;Palpitoad;Agua;Terra;384;65;55;65;55;69;5;False
537;Seismitoad;Agua;Terra;509;95;75;85;75;74;5;False
538;Throh;Lutador;;465;100;85;30;85;45;5;False
539;Sawk;Lutador;;465;125;75;30;75;85;5;False
540;Sewaddle;Inseto;Planta;310;53;70;40;60;42;5;False
541;Swadloon;Inseto;Planta;380;63;90;50;80;42;5;False
542;Leavanny;Inseto;Planta;500;103;80;70;80;92;5;False
543;Venipede;Inseto;Venenoso;260;45;59;30;39;57;5;False
544;Whirlipede;Inseto;Venenoso;360;55;99;40;79;47;5;False
545;Scolipede;Inseto;Venenoso;485;100;89;55;69;112;5;False
546;Cottonee;Planta;Fada;280;27;60;37;50;66;5;False
547;Whimsicott;Planta;Fada;480;67;85;77;75;116;5;False
548;Petilil;Planta;;280;35;50;70;50;30;5;False
549;Lilligant;Planta;;480;60;75;110;75;90;5;False
550;Basculin;Agua;;460;92;65;80;55;98;5;False
551;Sandile;Terra;Noturno;292;72;35;35;35;65;5;False
552;Krokorok;Terra;Noturno;351;82;45;45;45;74;5;False
553;Krookodile;Terra;Noturno;519;117;80;65;70;92;5;False
554;Darumaka;Fogo;;315;90;45;15;45;50;5;False
555;DarmanitanStandard Mode;Fogo;;480;140;55;30;55;95;5;False
555;DarmanitanZen Mode;Fogo;Psiquico;540;30;105;140;105;55;5;False
556;Maractus;Planta;;461;86;67;106;67;60;5;False
557;Dwebble;Inseto;Pedra;325;65;85;35;35;55;5;False
558;Crustle;Inseto;Pedra;475;95;125;65;75;45;5;False
559;Scraggy;Noturno;Lutador;348;75;70;35;70;48;5;False
560;Scrafty;Noturno;Lutador;488;90;115;45;115;58;5;False
561;Sigilyph;Psiquico;Voador;490;58;80;103;80;97;5;False
562;Yamask;Fantasma;;303;30;85;55;65;30;5;False
563;Cofagrigus;Fantasma;;483;50;145;95;105;30;5;False
564;Tirtouga;Agua;Pedra;355;78;103;53;45;22;5;False
565;Carracosta;Agua;Pedra;495;108;133;83;65;32;5;False
566;Archen;Pedra;Voador;401;112;45;74;45;70;5;False
567;Archeops;Pedra;Voador;567;140;65;112;65;110;5;False
568;Trubbish;Venenoso;;329;50;62;40;62;65;5;False
569;Garbodor;Venenoso;;474;95;82;60;82;75;5;False
570;Zorua;Noturno;;330;65;40;80;40;65;5;False
571;Zoroark;Noturno;;510;105;60;120;60;105;5;False
572;Minccino;Normal;;300;50;40;40;40;75;5;False
573;Cinccino;Normal;;470;95;60;65;60;115;5;False
574;Gothita;Psiquico;;290;30;50;55;65;45;5;False
575;Gothorita;Psiquico;;390;45;70;75;85;55;5;False
576;Gothitelle;Psiquico;;490;55;95;95;110;65;5;False
577;Solosis;Psiquico;;290;30;40;105;50;20;5;False
578;Duosion;Psiquico;;370;40;50;125;60;30;5;False
579;Reuniclus;Psiquico;;490;65;75;125;85;30;5;False
580;Ducklett;Agua;Voador;305;44;50;44;50;55;5;False
581;Swanna;Agua;Voador;473;87;63;87;63;98;5;False
582;Vanillite;Gelo;;305;50;50;65;60;44;5;False
583;Vanillish;Gelo;;395;65;65;80;75;59;5;False
584;Vanilluxe;Gelo;;535;95;85;110;95;79;5;False
585;Deerling;Normal;Planta;335;60;50;40;50;75;5;False
586;Sawsbuck;Normal;Planta;475;100;70;60;70;95;5;False
587;Emolga;Electric;Voador;428;75;60;75;60;103;5;False
588;Karrablast;Inseto;;315;75;45;40;45;60;5;False
589;Escavalier;Inseto;Metalico;495;135;105;60;105;20;5;False
590;Foongus;Planta;Venenoso;294;55;45;55;55;15;5;False
591;Amoonguss;Planta;Venenoso;464;85;70;85;80;30;5;False
592;Frillish;Agua;Fantasma;335;40;50;65;85;40;5;False
593;JellGelont;Agua;Fantasma;480;60;70;85;105;60;5;False
594;Alomomola;Agua;;470;75;80;40;45;65;5;False
595;Joltik;Inseto;Electric;319;47;50;57;50;65;5;False
596;Galvantula;Inseto;Electric;472;77;60;97;60;108;5;False
597;Ferroseed;Planta;Metalico;305;50;91;24;86;10;5;False
598;Ferrothorn;Planta;Metalico;489;94;131;54;116;20;5;False
599;Klink;Metalico;;300;55;70;45;60;30;5;False
600;Klang;Metalico;;440;80;95;70;85;50;5;False
601;Klinklang;Metalico;;520;100;115;70;85;90;5;False
602;Tynamo;Electric;;275;55;40;45;40;60;5;False
603;Eelektrik;Electric;;405;85;70;75;70;40;5;False
604;Eelektross;Electric;;515;115;80;105;80;50;5;False
605;Elgyem;Psiquico;;335;55;55;85;55;30;5;False
606;Beheeyem;Psiquico;;485;75;75;125;95;40;5;False
607;Litwick;Fantasma;Fogo;275;30;55;65;55;20;5;False
608;Lampent;Fantasma;Fogo;370;40;60;95;60;55;5;False
609;Chandelure;Fantasma;Fogo;520;55;90;145;90;80;5;False
610;Axew;Dragao;;320;87;60;30;40;57;5;False
611;Fraxure;Dragao;;410;117;70;40;50;67;5;False
612;Haxorus;Dragao;;540;147;90;60;70;97;5;False
613;Cubchoo;Gelo;;305;70;40;60;40;40;5;False
614;Beartic;Gelo;;485;110;80;70;80;50;5;False
615;Cryogonal;Gelo;;485;50;30;95;135;105;5;False
616;Shelmet;Inseto;;305;40;85;40;65;25;5;False
617;Accelgor;Inseto;;495;70;40;100;60;145;5;False
618;Stunfisk;Terra;Electric;471;66;84;81;99;32;5;False
619;Mienfoo;Lutador;;350;85;50;55;50;65;5;False
620;Mienshao;Lutador;;510;125;60;95;60;105;5;False
621;Druddigon;Dragao;;485;120;90;60;90;48;5;False
622;Golett;Terra;Fantasma;303;74;50;35;50;35;5;False
623;Golurk;Terra;Fantasma;483;124;80;55;80;55;5;False
624;Pawniard;Noturno;Metalico;340;85;70;40;40;60;5;False
625;Bisharp;Noturno;Metalico;490;125;100;60;70;70;5;False
626;Bouffalant;Normal;;490;110;95;40;95;55;5;False
627;Rufflet;Normal;Voador;350;83;50;37;50;60;5;False
628;Braviary;Normal;Voador;510;123;75;57;75;80;5;False
629;Vullaby;Noturno;Voador;370;55;75;45;65;60;5;False
630;Mandibuzz;Noturno;Voador;510;65;105;55;95;80;5;False
631;Heatmor;Fogo;;484;97;66;105;66;65;5;False
632;Durant;Inseto;Metalico;484;109;112;48;48;109;5;False
633;Deino;Noturno;Dragao;300;65;50;45;50;38;5;False
634;Zweilous;Noturno;Dragao;420;85;70;65;70;58;5;False
635;Hydreigon;Noturno;Dragao;600;105;90;125;90;98;5;False
636;Larvesta;Inseto;Fogo;360;85;55;50;55;60;5;False
637;Volcarona;Inseto;Fogo;550;60;65;135;105;100;5;False
638;Cobalion;Metalico;Lutador;580;90;129;90;72;108;5;True
639;Terrakion;Pedra;Lutador;580;129;90;72;90;108;5;True
640;Virizion;Planta;Lutador;580;90;72;90;129;108;5;True
641;TornadusIncarnate Forme;Voador;;580;115;70;125;80;111;5;True
641;TornadusTherian Forme;Voador;;580;100;80;110;90;121;5;True
642;ThundurusIncarnate Forme;Electric;Voador;580;115;70;125;80;111;5;True
642;ThundurusTherian Forme;Electric;Voador;580;105;70;145;80;101;5;True
643;Reshiram;Dragao;Fogo;680;120;100;150;120;90;5;True
644;Zekrom;Dragao;Electric;680;150;120;120;100;90;5;True
645;LandorusIncarnate Forme;Terra;Voador;600;125;90;115;80;101;5;True
645;LandorusTherian Forme;Terra;Voador;600;145;90;105;80;91;5;True
646;Kyurem;Dragao;Gelo;660;130;90;130;90;95;5;True
646;KyuremBlack Kyurem;Dragao;Gelo;700;170;100;120;90;95;5;True
646;KyuremWhite Kyurem;Dragao;Gelo;700;120;90;170;100;95;5;True
647;KeldeoOrdinary Forme;Agua;Lutador;580;72;90;129;90;108;5;False
647;KeldeoResolute Forme;Agua;Lutador;580;72;90;129;90;108;5;False
648;MeloettaAria Forme;Normal;Psiquico;600;77;77;128;128;90;5;False
648;MeloettaPirouette Forme;Normal;Lutador;600;128;90;77;77;128;5;False
649;Genesect;Inseto;Metalico;600;120;95;120;95;99;5;False
650;Chespin;Planta;;313;61;65;48;45;38;6;False
651;Quilladin;Planta;;405;78;95;56;58;57;6;False
652;Chesnaught;Planta;Lutador;530;107;122;74;75;64;6;False
653;Fennekin;Fogo;;307;45;40;62;60;60;6;False
654;Braixen;Fogo;;409;59;58;90;70;73;6;False
655;Delphox;Fogo;Psiquico;534;69;72;114;100;104;6;False
656;Froakie;Agua;;314;56;40;62;44;71;6;False
657;Frogadier;Agua;;405;63;52;83;56;97;6;False
658;Greninja;Agua;Noturno;530;95;67;103;71;122;6;False
659;Bunnelby;Normal;;237;36;38;32;36;57;6;False
660;Diggersby;Normal;Terra;423;56;77;50;77;78;6;False
661;Fletchling;Normal;Voador;278;50;43;40;38;62;6;False
662;Fletchinder;Fogo;Voador;382;73;55;56;52;84;6;False
663;Talonflame;Fogo;Voador;499;81;71;74;69;126;6;False
664;ScatterInseto;Inseto;;200;35;40;27;25;35;6;False
665;Spewpa;Inseto;;213;22;60;27;30;29;6;False
666;Vivillon;Inseto;Voador;411;52;50;90;50;89;6;False
667;Litleo;Fogo;Normal;369;50;58;73;54;72;6;False
668;Pyroar;Fogo;Normal;507;68;72;109;66;106;6;False
669;Flabébé;Fada;;303;38;39;61;79;42;6;False
670;Floette;Fada;;371;45;47;75;98;52;6;False
671;Florges;Fada;;552;65;68;112;154;75;6;False
672;Skiddo;Planta;;350;65;48;62;57;52;6;False
673;Gogoat;Planta;;531;100;62;97;81;68;6;False
674;Pancham;Lutador;;348;82;62;46;48;43;6;False
675;Pangoro;Lutador;Noturno;495;124;78;69;71;58;6;False
676;Furfrou;Normal;;472;80;60;65;90;102;6;False
677;Espurr;Psiquico;;355;48;54;63;60;68;6;False
678;MeowsticMale;Psiquico;;466;48;76;83;81;104;6;False
678;MeowsticFemale;Psiquico;;466;48;76;83;81;104;6;False
679;Honedge;Metalico;Fantasma;325;80;100;35;37;28;6;False
680;Doublade;Metalico;Fantasma;448;110;150;45;49;35;6;False
681;AegislashBlade Forme;Metalico;Fantasma;520;150;50;150;50;60;6;False
681;AegislashShield Forme;Metalico;Fantasma;520;50;150;50;150;60;6;False
682;Spritzee;Fada;;341;52;60;63;65;23;6;False
683;Aromatisse;Fada;;462;72;72;99;89;29;6;False
684;Swirlix;Fada;;341;48;66;59;57;49;6;False
685;Slurpuff;Fada;;480;80;86;85;75;72;6;False
686;Inkay;Noturno;Psiquico;288;54;53;37;46;45;6;False
687;Malamar;Noturno;Psiquico;482;92;88;68;75;73;6;False
688;Binacle;Pedra;Agua;306;52;67;39;56;50;6;False
689;Barbaracle;Pedra;Agua;500;105;115;54;86;68;6;False
690;Skrelp;Venenoso;Agua;320;60;60;60;60;30;6;False
691;Dragalge;Venenoso;Dragao;494;75;90;97;123;44;6;False
692;Clauncher;Agua;;330;53;62;58;63;44;6;False
693;Clawitzer;Agua;;500;73;88;120;89;59;6;False
694;Helioptile;Electric;Normal;289;38;33;61;43;70;6;False
695;Heliolisk;Electric;Normal;481;55;52;109;94;109;6;False
696;Tyrunt;Pedra;Dragao;362;89;77;45;45;48;6;False
697;Tyrantrum;Pedra;Dragao;521;121;119;69;59;71;6;False
698;Amaura;Pedra;Gelo;362;59;50;67;63;46;6;False
699;Aurorus;Pedra;Gelo;521;77;72;99;92;58;6;False
700;Sylveon;Fada;;525;65;65;110;130;60;6;False
701;Hawlucha;Lutador;Voador;500;92;75;74;63;118;6;False
702;Dedenne;Electric;Fada;431;58;57;81;67;101;6;False
703;Carbink;Pedra;Fada;500;50;150;50;150;50;6;False
704;Goomy;Dragao;;300;50;35;55;75;40;6;False
705;Sliggoo;Dragao;;452;75;53;83;113;60;6;False
706;Goodra;Dragao;;600;100;70;110;150;80;6;False
707;Klefki;Metalico;Fada;470;80;91;80;87;75;6;False
708;Phantump;Fantasma;Planta;309;70;48;50;60;38;6;False
709;Trevenant;Fantasma;Planta;474;110;76;65;82;56;6;False
710;PumpkabooAverage Size;Fantasma;Planta;335;66;70;44;55;51;6;False
710;PumpkabooSmall Size;Fantasma;Planta;335;66;70;44;55;56;6;False
710;PumpkabooLarge Size;Fantasma;Planta;335;66;70;44;55;46;6;False
710;PumpkabooSuper Size;Fantasma;Planta;335;66;70;44;55;41;6;False
711;GourgeistAverage Size;Fantasma;Planta;494;90;122;58;75;84;6;False
711;GourgeistSmall Size;Fantasma;Planta;494;85;122;58;75;99;6;False
711;GourgeistLarge Size;Fantasma;Planta;494;95;122;58;75;69;6;False
711;GourgeistSuper Size;Fantasma;Planta;494;100;122;58;75;54;6;False
712;Bergmite;Gelo;;304;69;85;32;35;28;6;False
713;Avalugg;Gelo;;514;117;184;44;46;28;6;False
714;Noibat;Voador;Dragao;245;30;35;45;40;55;6;False
715;Noivern;Voador;Dragao;535;70;80;97;80;123;6;False
716;Xerneas;Fada;;680;131;95;131;98;99;6;True
717;Yveltal;Noturno;Voador;680;131;95;131;98;99;6;True
718;Zygarde50% Forme;Dragao;Terra;600;100;121;81;95;95;6;True
719;Diancie;Pedra;Fada;600;100;150;100;150;50;6;True
719;DiancieMega Diancie;Pedra;Fada;700;160;110;160;110;110;6;True
720;HoopaHoopa Confined;Psiquico;Fantasma;600;110;60;150;130;70;6;True
720;HoopaHoopa Unbound;Psiquico;Noturno;680;160;60;170;130;80;6;True
721;Volcanion;Fogo;Agua;600;110;120;130;90;70;6;True
